1001,0.4864864864864865,7.166666666666667,8789.7222,147
2003,0.5897435897435898,6.304347826086956,8808.2609,168
3003,0.6341463414634146,6.461538461538462,8633.6923,194
4004,0.33884297520661155,8.268292682926829,15551.7073,380
5004,0.6299212598425197,6.1,21153.7875,568
6004,0.753731343283582,5.514851485148514,22286.4455,658
7006,0.7671232876712328,5.464285714285714,22884.0089,724
8007,0.84,5.198412698412699,21548.0794,781
9007,0.8375,5.149253731343284,21129.3134,824
10007,0.8,5.243055555555555,20058.1667,899
11008,0.839572192513369,5.101910828025478,18864.2293,958
12008,0.7761904761904762,5.319018404907975,18219.1411,1030
13008,0.762589928057554,5.650943396226415,21648.6274,1410
14008,0.8200692041522492,5.337552742616034,23324.9873,1502
15009,0.8355263157894737,5.299212598425197,23159.4803,1600
16009,0.8270440251572327,5.338403041825095,22871.6578,1667
17009,0.7788461538461539,5.564814814814815,27144.25,2127
18009,0.839622641509434,5.269662921348314,28199.6124,2232
19009,0.9103139013452914,5.0763546798029555,33179.9704,2467
